Model,XT (100),ZT (100),YR (100),ZR (100),XTZR (100),ZTZR (100),YRZR (100),XZTYZR (100),XTZR (1000),ZTZR (1000),YRZR (1000),XZTYZR (1000),XTZR (10000),ZTZR (10000),YRZR (10000),XZTYZR (10000)
Non-pretrained ResNet-18,1,1,1,0.8,0.425,0.525,0.2,0.075,0.5,0.9,0.425,0.2,0.525,0.9,0.45,0.15
Non-pretrained ResNet-50,1,1,0.9,0.825,0.425,0.325,0.2,0.05,0.5,0.65,0.075,0.05,0.625,0.575,0.25,0.075
ImageNet ResNet-50,0.625,0.975,0.3,0.55,0.3,0.325,0.1,0.05,0.25,0.35,0,0.05,0.2,0.275,0.05,0.025
R3M ResNet-50,0.975,0.875,0.525,0.275,0.15,0.075,0.1,0,0.15,0.225,0.025,0.025,0.175,0.225,0.025,0.025
CLIP ResNet-50,1,1,0.7,0.675,0.4,0.475,0.15,0.05,0.425,0.5,0.15,0.1,0.475,0.475,0.125,0.1
ImageNet ViT-B/16,1,1,0.675,0.375,0.225,0.275,0.1,0.05,0.325,0.25,0.125,0.025,0.275,0.25,0.05,0
CLIP ViT-B/16,0.975,1,0.85,0.575,0.4,0.475,0.15,0.05,0.325,0.4,0.125,0.075,0.325,0.3,0.225,0.075
MAE ViT-B/16,0.95,1,0.675,0.45,0.2,0.25,0.125,0.025,0.275,0.225,0.05,0.025,0.175,0.275,0.075,0
